재료,단백질,지방,섬유질,칼슘(%),인(%),비타민A(IU/g),비타민C(mg/kg),비타민D(IU/g),비타민E(IU/kg),나트륨(%),칼륨(%),마그네슘(%),철분,요오드,구리,망간,아연,셀레늄,Vitamin K3 (menadione),Vitamin B1 (thiamine),Vitamin B2 (riboflavin),Niacin (nicotinic acid),Vitamin B3 ,Vitamin B6 (pyridoxine),Pantothenic Acid,Vitamin B12 (cyanocobalamin),Biotin,Folate,Choline,,
셀렉티브 래트,14,4,4,0.6,0.4,13,,1.3,,,,,,,,,,,,,,,,,,,,,,,
할란2018s,18.4,6,3.8,1,0.7,30,,2,135,0.2,0.6,0.2,200,6,15,100,70,0.13,100,117,27,115,,26,140,0.15,0.9,9,1200,,
닥터 시리얼,12.5,3,5.75,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
볶은 병아리콩,19,6,17,0.11,,,40,,,,,,62,,,,,,,,,,,5,,,,,,,
강아지 사료1,26,11.5,5,0.7,0.7,17.75,100.21,2.1,517,0.31,0.92,0.11,369,,15,41,184,1.79,,3.64,16.49,51,,28.4,142,0.71,1.4,6.39,3600,,
수수,11,3,,0.375,2.35,,4.5,,,,,,28,13,2,13,12,1.7,,4.29,0.26,41.94,15.95,3.9,3.14,,,0.31,,,
통보리,8.75,1.67,,0.375,2.35,,,,,,,,18.4,,3.79,16.13,21.6,,,2.22,0.2,13.02,3.69,0.91,2.43,,,0.31,,,
파스타,12.5,1.5,2.5,0.02,0.15,,,,,,,,1.2,,0.2,0.3,0.5,,,0.1,0.05,0.9,,0.1,0.3,,,0.2,,,
채소믹스,15.5,0.93,14.67,0.18,0.34,,155,,,1.1,0.13,3.67,,,,,1.87,,,,,,,,,,,,,,
허브믹스,14.9,9.2,7.9,0.22,0.41,,,,,0.045,0.72,0.3,12.85,,0.89,5.11,4.32,,,,,,,,,,,,,,
피율무,13.3,4.8,2.2,0.02,0.26,,0,,,0.005,0.085,0.096,4.5,,0.75,0.3,1.5,,,,,3.4,,0.38,,,,0.4,38.2,0.22,0.1
동결건조 연어,65,6,0.1,0.08,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
볶은아마씨,18.3,42.2,27.3,0.255,0.642,,0,,,0.03,0.81,0.392,5.7,,1.1,2.5,4.34,,,,,,,,,,,0.8,78.7,,
영양효모,53,3.3,20,0.006,,,,,,0,0.264,,6.67,,,,40,,,78.67,64.67,306.67,,60,,0.11,,7.1,,60,60.6
치아씨드,16.5,30.7,34.4,0.631,0.86,,0,,,0.016,0.407,0.335,7.72,,0.924,2.72,4.58,,,,,,,,,,,0.5,78.1,,
비타민c 보충제,10,4,9,1.1,0.5,,1250,,,,,,,,6,,,,,,,,,,,,,,,,
말린 파슬리,3,0.4,3.3,1.1,0.058,,1330,,,0.05,0.554,0.05,6.2,,0.149,0.16,1.07,,,,,1.3,,0.09,,,,1.52,12.8,,
계란껍질 분말,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
쌀과자,5,2,2.1,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
강아지 사료2,23,8,8,0.8,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,
